Address,Email,HotelAmenities,Latitude,Longitude,Name,Phone,Price,ProductType,Rating,Reviews,RoomAmenities,Tags,Url
"No. 505, 5TH MAIN, VIJAYA BANK COLONY,BANNERGHATTA ROAD, BEHIND IIM, NEAR AYYAPPASWAMI TEMPLE,BANGALORE",hello@mistay.in,"wifi, parking, foreign exchange, doctor on call, laundry system, travel desk, pay by card, smoke detector, elevator, car rental, ironing",12.893354,77.607074,Nestelinn By Rivido,+91 9821344568,2977,Hotel,4,10,,,https://www.mistay.in/hotels-in-bangalore/nestelinn-by-rivido/
"Bannerghatta Main Road Opp. IIM Bangalore, Next to Apollo and Fortis Hospital, 560076 Bangalore, India",hello@mistay.in,"wifi, pay by card, elevator",13.059219,77.592504,Guru Comforts,+91 9821344568,1786,Hotel,4,10,,,https://www.mistay.in/hotels-in-bangalore/guru-comforts/
"4, 20th Main Rd, Next Sapna Book House, KHB Colony, 7th Block, Koramangala, Bengaluru, Karnataka 560095",hello@mistay.in,"wifi, parking, gym, conference hall, banquet hall, doctor on call, laundry system, luggage room, travel desk, pay by card, smoke detector, elevator, restaurant, car rental, ironing",12.936462,77.614467,SS Lumina Hotel,+91 9821344568,7145,Hotel,4,10,,,https://www.mistay.in/hotels-in-bangalore/ss-lumina-hotel/
"65/66 Sadguru complex, Opp IIMB, Near Appollo & Fortis Hospital, Banerghatta Road, Billekhahalli",hello@mistay.in,"wifi, parking, foreign exchange, doctor on call, laundry system, luggage room, travel desk, pay by card, elevator, car rental",12.901935,77.602701,Brahma Inn,+91 9821344568,1786,Hotel,4,10,,,https://www.mistay.in/hotels-in-bangalore/brahma-inn/
"#512, 7th main, Amarjothi layout west wing, Opp Dell, Domlur 560071",hello@mistay.in,"wifi, parking, laundry system, pay by card, elevator, restaurant, ironing",12.952710,77.637786,Hotel 12 Degrees West,+91 9821344568,2143,Hotel,5.0,1,,,https://www.mistay.in/hotels-in-bangalore/hotel-12-degrees-west/
"Thamarai kannan road Ulsoor next to TVS Bike showroom, Ulsoor, 560008 Bangalore, India",hello@mistay.in,"wifi, pay by card, elevator",12.972283,77.565675,Metro Inn,+91 9821344568,1429,Hotel,4,10,,,https://www.mistay.in/hotels-in-bangalore/metro-inn/
"282 - 285, Intermediate Ring Rd, Amarjyothi Domlur, 1st Stage, Vyalikaval HBCS Layout, Civil Area, Bengaluru, Karnataka 560071",hello@mistay.in,"wifi, parking, gym, banquet hall, laundry system, luggage room, pay by card, elevator, restaurant",12.955559,77.641233,Ramada Encore,+91 9821344568,2382,Hotel,4.5,9,,,https://www.mistay.in/hotels-in-bangalore/ramada-encore/
"350, 1st Stage, 12th A Cross, Off Double Road, Opp Value Mart, Indiranagar, Bengaluru, Karnataka 560038",hello@mistay.in,"wifi, parking, travel desk, pay by card, elevator, restaurant, car rental",12.979270,77.637480,Hotel City Centre Residency,+91 9821344568,3334,Hotel,4.0,41,,,https://www.mistay.in/hotels-in-bangalore/hotel-city-centre-residency/
"# 50/1, Meenal Tower, Residency Road, Bengaluru- 560021",hello@mistay.in,"wifi, parking, banquet hall, laundry system, luggage room, pay by card, elevator, restaurant, car rental",12.972957,77.609676,Hotel Meenal,+91 9821344568,2382,Hotel,3.5,51,,,https://www.mistay.in/hotels-in-bangalore/meenal-hotel/
"NO 5, BTM 2ND STAGE BANGALORE-560076",hello@mistay.in,"wifi, parking, travel desk, pay by card, restaurant",12.926790,77.604100,Krishna Vaibhav,+91 9821344568,2022,Hotel,4,10,,,https://www.mistay.in/hotels-in-bangalore/krishna-vaibhav/
NO.1503/27 40TH CROSS 4TH BLOCK JAYANAGAR 9TH BLOCK OLD BUS STAND,hello@mistay.in,"wifi, parking, banquet hall, foreign exchange, doctor on call, laundry system, luggage room, travel desk, pay by card, smoke detector, elevator, restaurant, car rental, ironing",12.920080,77.592480,Grk Comforts By Standford Hotels,+91 9821344568,1905,Hotel,4.5,6,,,https://www.mistay.in/hotels-in-bangalore/grk-comforts-by-standford-hotels/
"#77, 2nd cross, 3rd Main, Doresanipalya, IIMB Post, Next to Kalyani Magnum Tech Park, JP Nagar, 4th Phase",hello@mistay.in,"wifi, parking, luggage room, pay by card",12.901240,77.595030,Treebo Trend Stay Tuned,+91 9821344568,1308,Hotel,4,10,,,https://www.mistay.in/hotels-in-bangalore/treebo-trend-stay-tuned/
"1157, Aurobindo Marg, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041",hello@mistay.in,"wifi, parking, doctor on call, laundry system, luggage room, travel desk, pay by card, smoke detector, elevator, car rental, ironing",12.928390,77.586460,Fern Leaf By Stanford Hotels,+91 9821344568,1905,Hotel,3.5,12,,,https://www.mistay.in/hotels-in-bangalore/fern-leaf-by-stanford-hotels/
"#37/1, Railway Parallel Rd, Dr.Ambedkar Nagar, Yeswanthpur, Bengaluru, Karnataka 560022",hello@mistay.in,"wifi, parking, banquet hall, doctor on call, luggage room, pay by card, elevator, restaurant, ironing",13.020470,77.554520,Signum Cityscapes Grand Bee Bangalore,+91 9821344568,3572,Hotel,4.0,191,,,https://www.mistay.in/hotels-in-bangalore/signum-cityscapes-grand-bee-bangalore/
